APP_CODE,DEST_ID,SUB_DEST_ID,ORDER_MGMT_SYS_CODE,SALES_BUS_LINE_ID,SALES_BUS_DIVISION,MS_DEST_ID,ISSUE_TYPE_CODE,SALES_CAPTURE_METHOD_CODE,10
RBE,CME,,FIX_BXS,CLSITTRD,IED,BMD,FUTURE,FIX,1537
MSBOC,BMV,,FIX_BXS,CLSITTRD,,BMV,STOCK,,117478
SORT,BOX,,CG_DMA,CLSITTRD,,BOX,OPTION,,24328
PROXIMA,PROXIMA,,PROXIMA_SWAP,CLSITTRD,,BXS,STOCK,,1042820
RAZER,MSSWAT,,Passport,CLSITTRD,IED,BXS_AU,STOCK,FIX,96
CSOM,CSOM,,FIX_BXS,CLSITTRD,IED,BXS_KR_SAM,FUTURE,FIX,4198
CARBON,CARBON,86,CARBON,CORE,IED,CARBON,STOCK,Phone,27
CARBON,CARBON,ELEC,CARBON,DERIV,IED,CARBON,OPTION,Phone,339
CARBON,CARBON,SEEQ SHR CCP,CARBON,CORE,IED,CARBON,STOCK,Phone,12
CARBON,CARBON,GFIG,CARBON,DERIV,IED,CBOEPULSE_STRAT_CROSS,ETF,Phone,2
CARBON,CARBON,XFAC,CARBON,DERIV,IED,CBOEPULSE_STRAT_CROSS,OPTION,Phone,37
RBE,CHA_PEG,,FIX_BXS,CLSITTRD,,CHA_PEG,ETF,FIX,10
RBE,CHIX,,CG_DMA,CLSITTRD,,CHIX,STOCK,,181702
PROXIMA,CICCL,,RFQVanilla,DERIV,,CICC,STOCK,Phone,110
NV,,4,FIX_DMA,CLSITTRD,,CITADEL,FUND,,1
RBE,,5,FIX_DMA,CLSITTRD,,CITADEL,STOCK,,1504
NV,CITADEL,6,CG_DMA,CLSITTRD,,CITADEL,STOCK,,24076
SORT,CDRG,,CG_DMA,CLSITTRD,,CITGCT,ADR,FIX,1562
SORT,CDRG,,FIX_BXS,CLSITTRD,,CITGCT,ETF,FIX,19
SORT,,,KRONOS,CORE,,CN_BROKER,ADR,,60
CPK,XEDGX,,FIX_SWAP,CLSITTRD,,CPK,ADR,,4
SORT,CX2,,BROKER,CLSITTRD,,CX2,STOCK,,32
